name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1301667,93.389,-10.644,233.888,1.014050926673389e-06,2.0,0.06248528104932964,147,0.5,S230518h,1301667,1.014050926673389e-06
7798747,97.367,-14.787,255.585,1.0132136516191378e-06,0.5,0.015602484526982097,148,0.5,S230518h,7798747,1.0132136516191378e-06
7798635,96.546,-14.869,224.655,1.012691020684494e-06,0.1,0.003112554766418562,149,0.5,S230518h,7798635,1.012691020684494e-06
7798640,96.539,-14.898,246.810,1.012691020684494e-06,0.1,0.003112554766418562,150,0.5,S230518h,7798640,1.012691020684494e-06
7798258,97.415,-15.347,269.221,1.0124729824256712e-06,0.2,0.0062316804761444865,151,0.5,S230518h,7798258,1.0124729824256712e-06
7798244,97.442,-15.331,246.423,1.0124729824256712e-06,0.1,0.003111882911227617,152,0.5,S230518h,7798244,1.0124729824256712e-06
7798429,97.380,-15.104,229.483,1.0115489351386448e-06,0.2,0.006225985824482718,153,0.5,S230518h,7798429,1.0115489351386448e-06
7798415,97.337,-15.158,217.393,1.0115489351386448e-06,0.1,0.003109035585396733,154,0.5,S230518h,7798415,1.0115489351386448e-06
7798200,97.276,-15.554,251.535,1.008522191787119e-06,0.4,0.012422580313451517,155,0.5,S230518h,7798200,1.008522191787119e-06
7798248,97.281,-15.549,262.152,1.008522191787119e-06,0.2,0.006207332829881133,156,0.5,S230518h,7798248,1.008522191787119e-06
7798431,97.393,-15.023,264.492,1.0074414792799775e-06,0.1,0.003096379019731965,157,0.5,S230518h,7798431,1.0074414792799775e-06
7798426,97.426,-15.048,263.146,1.0074414792799775e-06,0.2,0.006200672693153182,158,0.5,S230518h,7798426,1.0074414792799775e-06
7303462,84.455,2.800,269.794,1.0073314562002257e-06,0.6,0.018615813260047985,159,0.5,S230518h,7303462,1.0073314562002257e-06
1305813,96.945,-15.366,215.010,1.0044533621933396e-06,1.1,0.034038033520940064,160,0.5,S230518h,1305813,1.0044533621933396e-06
7797831,97.127,-15.500,248.116,1.0034217448667852e-06,0.4,0.012359714984071872,161,0.5,S230518h,7797831,1.0034217448667852e-06
1067749,85.703,0.672,238.701,1.0033454230235781e-06,2.0,0.06182553002786787,162,0.5,S230518h,1067749,1.0033454230235781e-06
51064,85.752,0.751,257.614,1.0033454230235781e-06,5.0,0.15457569705020358,163,0.5,S230518h,51064,1.0033454230235781e-06
7798543,96.754,-15.289,254.660,1.001452811722675e-06,0.1,0.0030779257564976146,164,0.5,S230518h,7798543,1.001452811722675e-06
1301676,93.574,-6.896,225.936,9.998461731882768e-07,1.2,0.03696276261532006,165,0.5,S230518h,1301676,9.998461731882768e-07
7798240,97.506,-15.543,265.098,9.992122179464065e-07,0.2,0.006149957997718978,166,0.5,S230518h,7798240,9.992122179464065e-07
1310455,94.813,-9.108,253.936,9.98511732781522e-07,2.0,0.06152764286824016,167,0.5,S230518h,1310455,9.98511732781522e-07
7798432,97.487,-15.232,269.212,9.974618150964072e-07,0.1,0.0030656280440921027,168,0.5,S230518h,7798432,9.974618150964072e-07
52993,84.031,5.889,241.671,9.963144072889854e-07,3.0,0.09209229885437718,169,0.5,S230518h,52993,9.963144072889854e-07
66942,82.063,7.017,231.234,9.960202130735189e-07,2.0,0.06137409729709123,170,0.5,S230518h,66942,9.960202130735189e-07
7303713,83.956,3.544,278.987,9.958736970322839e-07,0.1,0.0030607344746287654,171,0.5,S230518h,7303713,9.958736970322839e-07
7798291,97.569,-15.529,231.648,9.903580518786223e-07,0.2,0.0060953921846708834,172,0.5,S230518h,7798291,9.903580518786223e-07
7798541,96.584,-15.033,276.401,9.88681910245498e-07,0.4,0.012178039814632396,173,0.5,S230518h,7798541,9.88681910245498e-07
7798574,96.515,-15.074,214.827,9.871596313443217e-07,0.2,0.00607568119036744,174,0.5,S230518h,7798574,9.871596313443217e-07
7798284,97.604,-15.339,270.179,9.861490742848965e-07,0.3,0.009108137430668186,175,0.5,S230518h,7798284,9.861490742848965e-07
7733442,95.995,-14.427,217.909,9.849397287708684e-07,0.1,0.0030270429409790297,176,0.5,S230518h,7733442,9.849397287708684e-07
7817362,97.325,-15.970,236.794,9.847254738067574e-07,0.2,0.006060680140679926,177,0.5,S230518h,7817362,9.847254738067574e-07
7817329,97.641,-15.948,249.691,9.845181385596266e-07,0.1,0.0030257438681768364,178,0.5,S230518h,7817329,9.845181385596266e-07
1295877,91.550,-3.130,279.011,9.841293040116577e-07,6.0,0.18193970821698635,179,0.5,S230518h,1295877,9.841293040116577e-07
66923,81.857,6.813,224.327,9.840854091340467e-07,0.9,0.027283011472142533,180,0.5,S230518h,66923,9.840854091340467e-07
7798147,96.977,-15.566,262.522,9.840399966858517e-07,0.3,0.00908864092477045,181,0.5,S230518h,7798147,9.840399966858517e-07
43653,83.221,4.324,249.591,9.840309529761469e-07,1.2,0.03637797325663652,182,0.5,S230518h,43653,9.840309529761469e-07
66916,81.740,7.279,247.958,9.79413986252768e-07,2.0,0.060350700783858555,183,0.5,S230518h,66916,9.79413986252768e-07
7303534,84.154,3.015,225.164,9.783064012284112e-07,0.5,0.015064674843873208,184,0.5,S230518h,7303534,9.783064012284112e-07
7303535,84.183,2.988,254.688,9.783064012284112e-07,0.5,0.015064674843873208,185,0.5,S230518h,7303535,9.783064012284112e-07
7303544,84.229,2.940,218.897,9.783064012284112e-07,0.3,0.009035639044848222,186,0.5,S230518h,7303544,9.783064012284112e-07
7303523,84.246,2.968,237.899,9.783064012284112e-07,0.1,0.0030066032458232403,187,0.5,S230518h,7303523,9.783064012284112e-07
7303542,84.169,2.969,218.181,9.783064012284112e-07,0.3,0.009035639044848222,188,0.5,S230518h,7303542,9.783064012284112e-07
53000,84.085,3.021,255.264,9.783064012284112e-07,5.0,0.15071798032193537,189,0.5,S230518h,53000,9.783064012284112e-07
7798986,97.346,-14.562,262.863,9.766858223593208e-07,0.1,0.003001609652811572,190,0.5,S230518h,7798986,9.766858223593208e-07
1307162,96.349,-12.326,233.654,9.760410156762926e-07,2.0,0.06014283379730819,191,0.5,S230518h,1307162,9.760410156762926e-07
51084,86.233,0.104,249.591,9.739215897254714e-07,1.0,0.030002152348454707,192,0.5,S230518h,51084,9.739215897254714e-07
7798799,97.433,-14.772,228.260,9.718448305186905e-07,0.1,0.0029866927959488854,193,0.5,S230518h,7798799,9.718448305186905e-07
7817334,97.676,-15.936,263.728,9.704387293584316e-07,0.1,0.0029823600867784216,194,0.5,S230518h,7817334,9.704387293584316e-07
7817370,97.411,-16.084,274.612,9.702217417815677e-07,0.5,0.014940115960360994,195,0.5,S230518h,7817370,9.702217417815677e-07
1307152,95.237,-13.354,244.510,9.687109037399479e-07,1.0,0.029841592158391796,196,0.5,S230518h,1307152,9.687109037399479e-07
7246012,83.680,3.649,282.488,9.68240569368536e-07,1.0,0.029827099445478983,197,0.5,S230518h,7246012,9.68240569368536e-07
7762553,95.860,-14.268,221.273,9.67380684331754e-07,0.1,0.002972937137629914,198,0.5,S230518h,7762553,9.67380684331754e-07
7817230,97.464,-16.231,232.220,9.657466885927165e-07,0.2,0.005943719058411852,199,0.5,S230518h,7817230,9.657466885927165e-07
7816415,97.514,-16.189,261.979,9.657466885927165e-07,1.0,0.02975025390681627,200,0.5,S230518h,7816415,9.657466885927165e-07
1299800,91.893,-3.863,278.369,9.655895149115612e-07,1.4,0.04164674100100722,201,0.5,S230518h,1299800,9.655895149115612e-07
1299801,91.950,-3.903,242.254,9.655895149115612e-07,5.0,0.14875871268451246,202,0.5,S230518h,1299801,9.655895149115612e-07
7817293,97.731,-16.221,282.841,9.64165725986644e-07,0.1,0.0029630306814671494,203,0.5,S230518h,7817293,9.64165725986644e-07
