#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
11542,76.667,10.364,77.269,10.955,77.267,9.772,76.066,9.772,76.064,10.955,55,0.428,112,0.9,S230518h,11542,0.428
8275,88.632,-0.545,89.224,0.046,89.224,-1.137,88.041,-1.137,88.041,0.046,8,0.426,113,0.9,S230518h,8275,0.426
6634,91.098,-6.000,91.692,-5.408,91.693,-6.591,90.502,-6.591,90.503,-5.408,9,0.426,114,0.9,S230518h,6634,0.426
7291,91.915,-3.818,92.507,-3.226,92.508,-4.409,91.322,-4.409,91.322,-3.226,16,0.426,115,0.9,S230518h,7291,0.426
6309,93.578,-7.091,94.173,-6.499,94.175,-7.682,92.981,-7.682,92.983,-6.499,10,0.418,116,0.9,S230518h,6309,0.418
5011,94.737,-11.455,95.339,-10.862,95.342,-12.045,94.132,-12.045,94.135,-10.862,11,0.418,117,0.9,S230518h,5011,0.418
9586,83.161,3.818,83.754,4.409,83.754,3.226,82.569,3.226,82.568,4.409,53,0.411,118,0.9,S230518h,9586,0.411
11867,78.019,11.455,78.623,12.045,78.621,10.862,77.416,10.862,77.414,12.045,20,0.402,119,0.9,S230518h,11867,0.402
2788,96.923,-19.091,97.547,-18.498,97.551,-19.681,96.295,-19.681,96.299,-18.498,110,0.392,120,0.9,S230518h,2788,0.392
6310,94.679,-7.091,95.274,-6.499,95.276,-7.682,94.082,-7.682,94.084,-6.499,14,0.392,121,0.9,S230518h,6310,0.392
6853,331.463,-6.000,332.058,-5.408,332.059,-6.591,330.868,-6.591,330.869,-5.408,159,0.390,122,0.9,S230518h,6853,0.390
4048,94.796,-14.727,95.406,-14.135,95.409,-15.318,94.183,-15.318,94.186,-14.135,65,0.389,123,0.9,S230518h,4048,0.389
6962,91.098,-4.909,91.691,-4.317,91.692,-5.500,90.503,-5.500,90.504,-4.317,8,0.388,124,0.9,S230518h,6962,0.388
6636,93.293,-6.000,93.887,-5.408,93.888,-6.591,92.697,-6.591,92.699,-5.408,8,0.387,125,0.9,S230518h,6636,0.387
3102,98.599,-18.000,99.219,-17.408,99.223,-18.591,97.975,-18.591,97.979,-17.408,37,0.387,126,0.9,S230518h,3102,0.387
11866,76.904,11.455,77.509,12.045,77.506,10.862,76.302,10.862,76.299,12.045,27,0.384,127,0.9,S230518h,11866,0.384
4691,97.267,-12.545,97.872,-11.953,97.874,-13.136,96.660,-13.136,96.663,-11.953,15,0.379,128,0.9,S230518h,4691,0.379
4689,95.031,-12.545,95.636,-11.953,95.638,-13.136,94.424,-13.136,94.426,-11.953,5,0.375,129,0.9,S230518h,4689,0.375
1864,98.824,-22.364,99.460,-21.771,99.466,-22.954,98.181,-22.954,98.187,-21.771,133,0.372,130,0.9,S230518h,1864,0.372
7948,90.821,-1.636,91.412,-1.045,91.413,-2.228,90.229,-2.228,90.229,-1.045,10,0.365,131,0.9,S230518h,7948,0.365
7617,88.632,-2.727,89.224,-2.136,89.225,-3.319,88.040,-3.319,88.040,-2.136,7,0.361,132,0.9,S230518h,7617,0.361
4369,96.449,-13.636,97.056,-13.044,97.059,-14.227,95.838,-14.227,95.841,-13.044,22,0.360,133,0.9,S230518h,4369,0.360
8603,87.538,0.545,88.130,1.137,88.129,-0.046,86.947,-0.046,86.946,1.137,7,0.352,134,0.9,S230518h,8603,0.352
10244,84.512,6.000,85.108,6.591,85.106,5.408,83.918,5.408,83.917,6.591,11,0.345,135,0.9,S230518h,10244,0.345
5332,92.222,-10.364,92.822,-9.772,92.825,-10.955,91.620,-10.955,91.622,-9.772,12,0.340,136,0.9,S230518h,5332,0.340
5333,93.333,-10.364,93.934,-9.772,93.936,-10.955,92.731,-10.955,92.733,-9.772,11,0.334,137,0.9,S230518h,5333,0.334
4047,93.668,-14.727,94.278,-14.135,94.281,-15.318,93.054,-15.318,93.058,-14.135,54,0.331,138,0.9,S230518h,4047,0.331
6964,93.293,-4.909,93.886,-4.317,93.887,-5.500,92.698,-5.500,92.700,-4.317,15,0.318,139,0.9,S230518h,6964,0.318
3414,95.696,-16.909,96.312,-16.317,96.316,-17.500,95.076,-17.500,95.080,-16.317,85,0.309,140,0.9,S230518h,3414,0.309
11545,80.000,10.364,80.602,10.955,80.600,9.772,79.400,9.772,79.398,10.955,10,0.308,141,0.9,S230518h,11545,0.308
11222,81.969,9.273,82.570,9.864,82.568,8.681,81.371,8.681,81.369,9.864,14,0.305,142,0.9,S230518h,11222,0.305
9587,84.255,3.818,84.849,4.409,84.848,3.226,83.663,3.226,83.662,4.409,22,0.302,143,0.9,S230518h,9587,0.302
9585,82.067,3.818,82.660,4.409,82.659,3.226,81.474,3.226,81.474,4.409,69,0.301,144,0.9,S230518h,9585,0.301
12508,74.019,13.636,74.629,14.227,74.626,13.044,73.412,13.044,73.409,14.227,12,0.299,145,0.9,S230518h,12508,0.299
5659,95.262,-9.273,95.860,-8.681,95.862,-9.864,94.661,-9.864,94.663,-8.681,10,0.299,146,0.9,S230518h,5659,0.299
3734,99.623,-15.818,100.236,-15.226,100.239,-16.409,99.006,-16.409,99.010,-15.226,14,0.298,147,0.9,S230518h,3734,0.298
9261,87.538,2.727,88.130,3.319,88.130,2.136,86.946,2.136,86.946,3.319,12,0.298,148,0.9,S230518h,9261,0.298
371,99.522,-27.818,100.187,-27.225,100.195,-28.408,98.850,-28.408,98.857,-27.225,37,0.296,149,0.9,S230518h,371,0.296
15014,63.529,22.364,64.172,22.954,64.166,21.771,62.893,21.771,62.887,22.954,15,0.296,150,0.9,S230518h,15014,0.296
1560,98.614,-23.455,99.256,-22.862,99.262,-24.045,97.966,-24.045,97.972,-22.862,121,0.290,151,0.9,S230518h,1560,0.290
8930,85.350,1.636,85.941,2.228,85.941,1.045,84.758,1.045,84.758,2.228,14,0.273,152,0.9,S230518h,8930,0.273
14401,68.516,20.182,69.149,20.772,69.144,19.589,67.888,19.589,67.884,20.772,18,0.271,153,0.9,S230518h,14401,0.271
10893,78.405,8.182,79.003,8.773,79.002,7.590,77.808,7.590,77.806,8.773,38,0.268,154,0.9,S230518h,10893,0.268
3730,95.094,-15.818,95.707,-15.226,95.711,-16.409,94.478,-16.409,94.481,-15.226,84,0.268,155,0.9,S230518h,3730,0.268
86,106.759,-28.909,107.430,-28.316,107.438,-29.499,106.079,-29.499,106.087,-28.316,58,0.266,156,0.9,S230518h,86,0.266
6961,90.000,-4.909,90.593,-4.317,90.594,-5.500,89.406,-5.500,89.407,-4.317,8,0.264,157,0.9,S230518h,6961,0.264
4687,92.795,-12.545,93.400,-11.953,93.402,-13.136,92.188,-13.136,92.190,-11.953,22,0.258,158,0.9,S230518h,4687,0.258
5981,91.656,-8.182,92.253,-7.590,92.255,-8.773,91.058,-8.773,91.060,-7.590,10,0.257,159,0.9,S230518h,5981,0.257
7292,93.009,-3.818,93.602,-3.226,93.602,-4.409,92.416,-4.409,92.417,-3.226,15,0.257,160,0.9,S230518h,7292,0.257
14402,69.677,20.182,70.310,20.772,70.305,19.589,69.050,19.589,69.045,20.772,15,0.257,161,0.9,S230518h,14402,0.257
12188,76.025,12.545,76.632,13.136,76.629,11.953,75.420,11.953,75.417,13.136,8,0.257,162,0.9,S230518h,12188,0.257
6524,330.275,-7.091,330.871,-6.499,330.872,-7.682,329.678,-7.682,329.680,-6.499,92,0.256,163,0.9,S230518h,6524,0.256
18200,34.161,34.364,34.882,34.953,34.872,33.770,33.449,33.770,33.439,34.953,73,0.255,164,0.9,S230518h,18200,0.255
8599,83.161,0.545,83.753,1.137,83.753,-0.046,82.570,-0.046,82.570,1.137,48,0.253,165,0.9,S230518h,8599,0.253
11218,77.538,9.273,78.139,9.864,78.137,8.681,76.940,8.681,76.938,9.864,59,0.249,166,0.9,S230518h,11218,0.249
17083,46.411,30.000,47.098,30.590,47.090,29.407,45.732,29.407,45.724,30.590,68,0.245,167,0.9,S230518h,17083,0.245
9589,86.444,3.818,87.037,4.409,87.036,3.226,85.851,3.226,85.851,4.409,7,0.244,168,0.9,S230518h,9589,0.244
15319,62.970,23.455,63.618,24.045,63.612,22.862,62.328,22.862,62.323,24.045,11,0.242,169,0.9,S230518h,15319,0.242
377,106.894,-27.818,107.559,-27.225,107.567,-28.408,106.222,-28.408,106.229,-27.225,19,0.240,170,0.9,S230518h,377,0.240
6637,94.390,-6.000,94.984,-5.408,94.986,-6.591,93.795,-6.591,93.796,-5.408,18,0.238,171,0.9,S230518h,6637,0.238
6523,329.174,-7.091,329.770,-6.499,329.771,-7.682,328.577,-7.682,328.579,-6.499,116,0.237,172,0.9,S230518h,6523,0.237
5980,90.552,-8.182,91.149,-7.590,91.151,-8.773,89.954,-8.773,89.955,-7.590,12,0.236,173,0.9,S230518h,5980,0.236
8277,90.821,-0.545,91.412,0.046,91.412,-1.137,90.229,-1.137,90.229,0.046,11,0.233,174,0.9,S230518h,8277,0.233
9912,80.122,4.909,80.716,5.500,80.715,4.317,79.529,4.317,79.528,5.500,57,0.227,175,0.9,S230518h,9912,0.227
14712,70.130,21.273,70.767,21.863,70.762,20.680,69.498,20.680,69.493,21.863,19,0.227,176,0.9,S230518h,14712,0.227
965,105.101,-25.636,105.754,-25.043,105.760,-26.226,104.441,-26.226,104.448,-25.043,37,0.221,177,0.9,S230518h,965,0.221
10566,78.165,7.091,78.762,7.682,78.760,6.499,77.570,6.499,77.568,7.682,61,0.221,178,0.9,S230518h,10566,0.221
7616,87.538,-2.727,88.130,-2.136,88.130,-3.319,86.946,-3.319,86.946,-2.136,5,0.221,179,0.9,S230518h,7616,0.221
17652,45.000,32.182,45.703,32.771,45.694,31.588,44.306,31.588,44.297,32.771,67,0.220,180,0.9,S230518h,17652,0.220
1259,99.269,-24.545,99.916,-23.953,99.922,-25.136,98.616,-25.136,98.622,-23.953,108,0.218,181,0.9,S230518h,1259,0.218
14090,69.231,19.091,69.859,19.681,69.854,18.498,68.607,18.498,68.603,19.681,13,0.217,182,0.9,S230518h,14090,0.217
1863,97.647,-22.364,98.284,-21.771,98.289,-22.954,97.005,-22.954,97.010,-21.771,86,0.216,183,0.9,S230518h,1863,0.216
10894,79.509,8.182,80.108,8.773,80.106,7.590,78.913,7.590,78.911,8.773,9,0.214,184,0.9,S230518h,10894,0.214
2174,102.857,-21.273,103.489,-20.680,103.494,-21.863,102.220,-21.863,102.225,-20.680,12,0.214,185,0.9,S230518h,2174,0.214
15620,60.997,24.545,61.650,25.136,61.644,23.953,60.349,23.953,60.343,25.136,25,0.213,186,0.9,S230518h,15620,0.213
7947,89.726,-1.636,90.318,-1.045,90.318,-2.228,89.135,-2.228,89.135,-1.045,5,0.213,187,0.9,S230518h,7947,0.213
1264,105.249,-24.545,105.896,-23.953,105.903,-25.136,104.596,-25.136,104.602,-23.953,16,0.212,188,0.9,S230518h,1264,0.212
9257,83.161,2.727,83.754,3.319,83.753,2.136,82.569,2.136,82.569,3.319,59,0.206,189,0.9,S230518h,9257,0.206
11546,81.111,10.364,81.714,10.955,81.711,9.772,80.511,9.772,80.509,10.955,7,0.206,190,0.9,S230518h,11546,0.206
8933,88.632,1.636,89.224,2.228,89.224,1.045,88.041,1.045,88.040,2.228,5,0.206,191,0.9,S230518h,8933,0.206
12190,78.261,12.545,78.868,13.136,78.865,11.953,77.656,11.953,77.654,13.136,5,0.205,192,0.9,S230518h,12190,0.205
12187,74.907,12.545,75.514,13.136,75.511,11.953,74.302,11.953,74.299,13.136,6,0.204,193,0.9,S230518h,12187,0.204
