#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
1999,92.903,-7.660,93.910,-6.658,93.915,-8.658,91.892,-8.658,91.897,-6.658,30,1.233,104,0.9,S230518h,1999,1.233
2371,90.481,-3.830,91.482,-2.829,91.485,-4.829,89.478,-4.829,89.480,-2.829,32,1.228,105,0.9,S230518h,2371,1.228
5926,121.846,-70.000,124.634,-68.977,124.915,-70.975,118.778,-70.975,119.058,-68.977,203,1.208,106,0.9,S230518h,5926,1.208
6327,102.532,-30.000,103.675,-28.995,103.698,-30.995,101.365,-30.995,101.389,-28.995,286,1.202,107,0.9,S230518h,6327,1.202
5780,112.208,-66.000,114.573,-64.981,114.765,-66.980,109.650,-66.980,109.843,-64.981,248,1.191,108,0.9,S230518h,5780,1.191
5855,111.549,-68.000,114.107,-66.979,114.337,-68.977,108.761,-68.977,108.992,-66.979,243,1.191,109,0.9,S230518h,5855,1.191
6270,337.500,-86.000,348.823,-84.901,355.943,-86.838,319.057,-86.838,326.177,-84.901,140,1.181,110,0.9,S230518h,6270,1.181
3677,81.290,9.574,82.307,10.573,82.301,8.573,80.279,8.573,80.273,10.573,42,1.172,111,0.9,S230518h,3677,1.172
1263,94.945,-15.319,95.977,-14.317,95.987,-16.317,93.903,-16.317,93.913,-14.317,222,1.157,112,0.9,S230518h,1263,1.157
213,100.118,-26.809,101.229,-25.804,101.249,-27.804,98.988,-27.804,99.008,-25.804,289,1.154,113,0.9,S230518h,213,1.154
3120,86.631,3.830,87.634,4.829,87.632,2.829,85.630,2.829,85.628,4.829,25,1.151,114,0.9,S230518h,3120,1.151
6261,135.000,-86.000,146.323,-84.901,153.443,-86.838,116.557,-86.838,123.677,-84.901,133,1.128,115,0.9,S230518h,6261,1.128
2745,88.085,0.000,89.085,1.000,89.085,-1.000,87.085,-1.000,87.085,1.000,23,1.121,116,0.9,S230518h,2745,1.121
2933,88.085,1.915,89.086,2.915,89.085,0.915,87.085,0.915,87.084,2.915,23,1.101,117,0.9,S230518h,2933,1.101
6046,122.264,-74.000,125.680,-72.971,126.122,-74.968,118.406,-74.968,118.848,-72.971,190,1.085,118,0.9,S230518h,6046,1.085
2000,94.839,-7.660,95.845,-6.658,95.850,-8.658,93.827,-8.658,93.832,-6.658,39,1.084,119,0.9,S230518h,2000,1.084
6789,104.595,-36.000,105.815,-34.994,105.846,-36.994,103.343,-36.994,103.374,-34.994,224,1.056,120,0.9,S230518h,6789,1.056
6938,110.000,-38.000,111.252,-36.993,111.286,-38.993,108.714,-38.993,108.748,-36.993,123,1.053,121,0.9,S230518h,6938,1.053
731,102.273,-21.064,103.337,-20.060,103.352,-22.060,101.194,-22.060,101.208,-20.060,89,1.031,122,0.9,S230518h,731,1.031
3490,79.355,7.660,80.366,8.658,80.361,6.658,78.348,6.658,78.343,8.658,129,1.021,123,0.9,S230518h,3490,1.021
8176,120.000,-58.000,121.835,-56.986,121.941,-58.986,118.059,-58.986,118.165,-56.986,129,0.993,124,0.9,S230518h,8176,0.993
7853,116.842,-52.000,118.431,-50.989,118.503,-52.989,115.181,-52.989,115.254,-50.989,176,0.991,125,0.9,S230518h,7853,0.991
